gNMDAR,RyR,Ca
170.000000,10.000000,0.053695
170.000000,20.000000,0.057078
170.000000,30.000000,74.007504
170.000000,40.000000,115.695280
170.000000,50.000000,141.842005
170.000000,60.000000,159.626985
170.000000,70.000000,172.371200
170.000000,80.000000,181.973631
170.000000,90.000000,189.484636
170.000000,100.000000,195.505760
170.000000,110.000000,200.438229
170.000000,120.000000,204.551162
170.000000,130.000000,208.022180
170.000000,140.000000,211.003448
160.000000,10.000000,0.053695
160.000000,20.000000,0.057078
160.000000,30.000000,74.006988
160.000000,40.000000,115.695174
160.000000,50.000000,141.841934
160.000000,60.000000,159.626958
160.000000,70.000000,172.371123
160.000000,80.000000,181.973625
160.000000,90.000000,189.484633
160.000000,100.000000,195.505754
160.000000,110.000000,200.438226
160.000000,120.000000,204.551163
160.000000,130.000000,208.022173
160.000000,140.000000,211.003443
150.000000,10.000000,0.053695
150.000000,20.000000,0.057079
150.000000,30.000000,74.006472
150.000000,40.000000,115.695063
150.000000,50.000000,141.841873
150.000000,60.000000,159.626943
150.000000,70.000000,172.371036
150.000000,80.000000,181.973605
150.000000,90.000000,189.484624
150.000000,100.000000,195.505752
150.000000,110.000000,200.438219
150.000000,120.000000,204.551153
150.000000,130.000000,208.022162
150.000000,140.000000,211.003439
140.000000,10.000000,0.053695
140.000000,20.000000,0.057079
140.000000,30.000000,74.005951
140.000000,40.000000,115.694953
140.000000,50.000000,141.841789
140.000000,60.000000,159.626911
140.000000,70.000000,172.370958
140.000000,80.000000,181.973601
140.000000,90.000000,189.484606
140.000000,100.000000,195.505746
140.000000,110.000000,200.438217
140.000000,120.000000,204.551157
140.000000,130.000000,208.022155
140.000000,140.000000,211.003435
130.000000,10.000000,0.053695
130.000000,20.000000,0.057079
130.000000,30.000000,74.005445
130.000000,40.000000,115.694845
130.000000,50.000000,141.841721
130.000000,60.000000,159.626900
130.000000,70.000000,172.370870
130.000000,80.000000,181.973585
130.000000,90.000000,189.484601
130.000000,100.000000,195.505746
130.000000,110.000000,200.438218
130.000000,120.000000,204.551152
130.000000,130.000000,208.022143
130.000000,140.000000,211.003434
120.000000,10.000000,0.053695
120.000000,20.000000,0.057079
120.000000,30.000000,74.004932
120.000000,40.000000,115.694737
120.000000,50.000000,141.841647
120.000000,60.000000,159.626873
120.000000,70.000000,172.370780
120.000000,80.000000,181.973566
120.000000,90.000000,189.484601
120.000000,100.000000,195.505744
120.000000,110.000000,200.438216
120.000000,120.000000,204.551149
120.000000,130.000000,208.022140
120.000000,140.000000,211.003424
110.000000,10.000000,0.053695
110.000000,20.000000,0.057079
110.000000,30.000000,74.004417
110.000000,40.000000,115.694624
110.000000,50.000000,141.841580
110.000000,60.000000,159.626853
110.000000,70.000000,172.370702
110.000000,80.000000,181.973557
110.000000,90.000000,189.484601
110.000000,100.000000,195.505738
110.000000,110.000000,200.438211
110.000000,120.000000,204.551143
110.000000,130.000000,208.022130
110.000000,140.000000,211.003427
100.000000,10.000000,0.053695
100.000000,20.000000,0.057079
100.000000,30.000000,74.003909
100.000000,40.000000,115.694516
100.000000,50.000000,141.841504
100.000000,60.000000,159.626825
100.000000,70.000000,172.370625
100.000000,80.000000,181.973548
100.000000,90.000000,189.484594
100.000000,100.000000,195.505734
100.000000,110.000000,200.438210
100.000000,120.000000,204.551144
100.000000,130.000000,208.022126
100.000000,140.000000,211.003420
90.000000,10.000000,0.053695
90.000000,20.000000,0.057080
90.000000,30.000000,74.003395
90.000000,40.000000,115.694406
90.000000,50.000000,141.841437
90.000000,60.000000,159.626806
90.000000,70.000000,172.370534
90.000000,80.000000,181.973533
90.000000,90.000000,189.484588
90.000000,100.000000,195.505726
90.000000,110.000000,200.438201
90.000000,120.000000,204.551138
90.000000,130.000000,208.022113
90.000000,140.000000,211.003410
80.000000,10.000000,0.053695
80.000000,20.000000,0.057080
80.000000,30.000000,74.002889
80.000000,40.000000,115.694294
80.000000,50.000000,141.841358
80.000000,60.000000,159.626781
80.000000,70.000000,172.370453
80.000000,80.000000,181.973525
80.000000,90.000000,189.484579
80.000000,100.000000,195.505729
80.000000,110.000000,200.438201
80.000000,120.000000,204.551138
80.000000,130.000000,208.022106
80.000000,140.000000,211.003406
70.000000,10.000000,0.053695
70.000000,20.000000,0.057080
70.000000,30.000000,74.002380
70.000000,40.000000,115.694189
70.000000,50.000000,141.841285
70.000000,60.000000,159.626768
70.000000,70.000000,172.370368
70.000000,80.000000,181.973512
70.000000,90.000000,189.484580
70.000000,100.000000,195.505731
70.000000,110.000000,200.438199
70.000000,120.000000,204.551130
70.000000,130.000000,208.022096
70.000000,140.000000,211.003408
60.000000,10.000000,0.053695
60.000000,20.000000,0.057080
60.000000,30.000000,74.001870
60.000000,40.000000,115.694079
60.000000,50.000000,141.841216
60.000000,60.000000,159.626730
60.000000,70.000000,172.370298
60.000000,80.000000,181.973494
60.000000,90.000000,189.484570
60.000000,100.000000,195.505719
60.000000,110.000000,200.438188
60.000000,120.000000,204.551128
60.000000,130.000000,208.022089
60.000000,140.000000,211.003405
50.000000,10.000000,0.053695
50.000000,20.000000,0.057080
50.000000,30.000000,74.001367
50.000000,40.000000,115.693970
50.000000,50.000000,141.841149
50.000000,60.000000,159.626710
50.000000,70.000000,172.370208
50.000000,80.000000,181.973482
50.000000,90.000000,189.484560
50.000000,100.000000,195.505707
50.000000,110.000000,200.438193
50.000000,120.000000,204.551120
50.000000,130.000000,208.022081
50.000000,140.000000,211.003400
