gNMDAR,RyR,Ca
70.000000,50.000000,6.823218
70.000000,52.000000,7.187473
70.000000,54.000000,7.551066
70.000000,56.000000,7.915005
70.000000,58.000000,8.278152
70.000000,60.000000,8.640228
70.000000,62.000000,9.001057
70.000000,64.000000,9.360473
70.000000,66.000000,9.718300
70.000000,68.000000,10.074348
60.000000,50.000000,6.823208
60.000000,52.000000,7.187450
60.000000,54.000000,7.551056
60.000000,56.000000,7.914998
60.000000,58.000000,8.278147
60.000000,60.000000,8.640223
60.000000,62.000000,9.001053
60.000000,64.000000,9.360469
60.000000,66.000000,9.718296
60.000000,68.000000,10.074344
50.000000,50.000000,6.823198
50.000000,52.000000,7.187428
50.000000,54.000000,7.551046
50.000000,56.000000,7.914991
50.000000,58.000000,8.278141
50.000000,60.000000,8.640218
50.000000,62.000000,9.001048
50.000000,64.000000,9.360465
50.000000,66.000000,9.718292
50.000000,68.000000,10.074340
40.000000,50.000000,6.823188
40.000000,52.000000,7.187406
40.000000,54.000000,7.551036
40.000000,56.000000,7.914984
40.000000,58.000000,8.278135
40.000000,60.000000,8.640213
40.000000,62.000000,9.001044
40.000000,64.000000,9.360460
40.000000,66.000000,9.718288
40.000000,68.000000,10.074336
30.000000,50.000000,6.823179
30.000000,52.000000,7.187384
30.000000,54.000000,7.551027
30.000000,56.000000,7.914977
30.000000,58.000000,8.278130
30.000000,60.000000,8.640208
30.000000,62.000000,9.001039
30.000000,64.000000,9.360456
30.000000,66.000000,9.718283
30.000000,68.000000,10.074332
20.000000,50.000000,6.823169
20.000000,52.000000,7.187362
20.000000,54.000000,7.551017
20.000000,56.000000,7.914971
20.000000,58.000000,8.278124
20.000000,60.000000,8.640203
20.000000,62.000000,9.001035
20.000000,64.000000,9.360452
20.000000,66.000000,9.718279
20.000000,68.000000,10.074328
