gNMDAR,RyR,Ca
170.000000,10.000000,0.053695
170.000000,20.000000,0.057078
170.000000,30.000000,72.064057
170.000000,40.000000,113.614093
170.000000,50.000000,139.726595
170.000000,60.000000,157.496037
170.000000,70.000000,170.235060
170.000000,80.000000,179.829761
170.000000,90.000000,187.337128
170.000000,100.000000,193.355752
170.000000,110.000000,198.286378
170.000000,120.000000,202.398097
170.000000,130.000000,205.869298
170.000000,140.000000,208.848789
160.000000,10.000000,0.053695
160.000000,20.000000,0.057078
160.000000,30.000000,72.063529
160.000000,40.000000,113.613988
160.000000,50.000000,139.726515
160.000000,60.000000,157.496009
160.000000,70.000000,170.234973
160.000000,80.000000,179.829738
160.000000,90.000000,187.337127
160.000000,100.000000,193.355744
160.000000,110.000000,198.286382
160.000000,120.000000,202.398092
160.000000,130.000000,205.869283
160.000000,140.000000,208.848781
150.000000,10.000000,0.053695
150.000000,20.000000,0.057078
150.000000,30.000000,72.063001
150.000000,40.000000,113.613878
150.000000,50.000000,139.726449
150.000000,60.000000,157.495992
150.000000,70.000000,170.234877
150.000000,80.000000,179.829739
150.000000,90.000000,187.337123
150.000000,100.000000,193.355738
150.000000,110.000000,198.286370
150.000000,120.000000,202.398093
150.000000,130.000000,205.869274
150.000000,140.000000,208.848779
140.000000,10.000000,0.053695
140.000000,20.000000,0.057078
140.000000,30.000000,72.062475
140.000000,40.000000,113.613760
140.000000,50.000000,139.726371
140.000000,60.000000,157.495969
140.000000,70.000000,170.234787
140.000000,80.000000,179.829714
140.000000,90.000000,187.337107
140.000000,100.000000,193.355736
140.000000,110.000000,198.286377
140.000000,120.000000,202.398095
140.000000,130.000000,205.869271
140.000000,140.000000,208.848776
130.000000,10.000000,0.053695
130.000000,20.000000,0.057078
130.000000,30.000000,72.061955
130.000000,40.000000,113.613654
130.000000,50.000000,139.726302
130.000000,60.000000,157.495954
130.000000,70.000000,170.234697
130.000000,80.000000,179.829708
130.000000,90.000000,187.337108
130.000000,100.000000,193.355736
130.000000,110.000000,198.286368
130.000000,120.000000,202.398084
130.000000,130.000000,205.869264
130.000000,140.000000,208.848771
120.000000,10.000000,0.053695
120.000000,20.000000,0.057079
120.000000,30.000000,72.061428
120.000000,40.000000,113.613541
120.000000,50.000000,139.726221
120.000000,60.000000,157.495928
120.000000,70.000000,170.234605
120.000000,80.000000,179.829698
120.000000,90.000000,187.337098
120.000000,100.000000,193.355727
120.000000,110.000000,198.286365
120.000000,120.000000,202.398082
120.000000,130.000000,205.869249
120.000000,140.000000,208.848761
110.000000,10.000000,0.053695
110.000000,20.000000,0.057079
110.000000,30.000000,72.060904
110.000000,40.000000,113.613430
110.000000,50.000000,139.726150
110.000000,60.000000,157.495906
110.000000,70.000000,170.234517
110.000000,80.000000,179.829684
110.000000,90.000000,187.337095
110.000000,100.000000,193.355723
110.000000,110.000000,198.286366
110.000000,120.000000,202.398086
110.000000,130.000000,205.869249
110.000000,140.000000,208.848757
100.000000,10.000000,0.053695
100.000000,20.000000,0.057079
100.000000,30.000000,72.060389
100.000000,40.000000,113.613316
100.000000,50.000000,139.726078
100.000000,60.000000,157.495883
100.000000,70.000000,170.234419
100.000000,80.000000,179.829669
100.000000,90.000000,187.337088
100.000000,100.000000,193.355722
100.000000,110.000000,198.286354
100.000000,120.000000,202.398084
100.000000,130.000000,205.869232
100.000000,140.000000,208.848758
90.000000,10.000000,0.053695
90.000000,20.000000,0.057079
90.000000,30.000000,72.059864
90.000000,40.000000,113.613207
90.000000,50.000000,139.726000
90.000000,60.000000,157.495858
90.000000,70.000000,170.234332
90.000000,80.000000,179.829655
90.000000,90.000000,187.337085
90.000000,100.000000,193.355711
90.000000,110.000000,198.286361
90.000000,120.000000,202.398069
90.000000,130.000000,205.869229
90.000000,140.000000,208.848755
80.000000,10.000000,0.053695
80.000000,20.000000,0.057079
80.000000,30.000000,72.059344
80.000000,40.000000,113.613104
80.000000,50.000000,139.725930
80.000000,60.000000,157.495841
80.000000,70.000000,170.234241
80.000000,80.000000,179.829640
80.000000,90.000000,187.337067
80.000000,100.000000,193.355714
80.000000,110.000000,198.286352
80.000000,120.000000,202.398066
80.000000,130.000000,205.869220
80.000000,140.000000,208.848753
70.000000,10.000000,0.053695
70.000000,20.000000,0.057079
70.000000,30.000000,72.058828
70.000000,40.000000,113.612987
70.000000,50.000000,139.725861
70.000000,60.000000,157.495813
70.000000,70.000000,170.234155
70.000000,80.000000,179.829627
70.000000,90.000000,187.337063
70.000000,100.000000,193.355712
70.000000,110.000000,198.286356
70.000000,120.000000,202.398069
70.000000,130.000000,205.869212
70.000000,140.000000,208.848748
60.000000,10.000000,0.053695
60.000000,20.000000,0.057080
60.000000,30.000000,72.058308
60.000000,40.000000,113.612874
60.000000,50.000000,139.725781
60.000000,60.000000,157.495797
60.000000,70.000000,170.234057
60.000000,80.000000,179.829620
60.000000,90.000000,187.337061
60.000000,100.000000,193.355708
60.000000,110.000000,198.286350
60.000000,120.000000,202.398062
60.000000,130.000000,205.869203
60.000000,140.000000,208.848744
50.000000,10.000000,0.053695
50.000000,20.000000,0.057080
50.000000,30.000000,72.057794
50.000000,40.000000,113.612773
50.000000,50.000000,139.725706
50.000000,60.000000,157.495766
50.000000,70.000000,170.233971
50.000000,80.000000,179.829610
50.000000,90.000000,187.337059
50.000000,100.000000,193.355699
50.000000,110.000000,198.286349
50.000000,120.000000,202.398067
50.000000,130.000000,205.869195
50.000000,140.000000,208.848732
