gNMDAR,RyR,Ca
170.000000,40.000000,0.079070
170.000000,50.000000,0.086554
170.000000,60.000000,0.094266
170.000000,70.000000,0.102230
170.000000,80.000000,0.110496
170.000000,90.000000,0.119169
170.000000,100.000000,0.128623
170.000000,110.000000,18.386764
170.000000,120.000000,19.487441
170.000000,130.000000,20.677419
170.000000,140.000000,21.798361
160.000000,40.000000,0.079070
160.000000,50.000000,0.086554
160.000000,60.000000,0.094266
160.000000,70.000000,0.102230
160.000000,80.000000,0.110496
160.000000,90.000000,0.119169
160.000000,100.000000,0.128625
160.000000,110.000000,18.386150
160.000000,120.000000,19.487335
160.000000,130.000000,20.677363
160.000000,140.000000,21.798323
150.000000,40.000000,0.079070
150.000000,50.000000,0.086554
150.000000,60.000000,0.094266
150.000000,70.000000,0.102231
150.000000,80.000000,0.110496
150.000000,90.000000,0.119170
150.000000,100.000000,0.128626
150.000000,110.000000,18.385538
150.000000,120.000000,19.487229
150.000000,130.000000,20.677307
150.000000,140.000000,21.798285
140.000000,40.000000,0.079070
140.000000,50.000000,0.086555
140.000000,60.000000,0.094266
140.000000,70.000000,0.102231
140.000000,80.000000,0.110496
140.000000,90.000000,0.119170
140.000000,100.000000,0.128627
140.000000,110.000000,18.384928
140.000000,120.000000,19.487124
140.000000,130.000000,20.677250
140.000000,140.000000,21.798248
130.000000,40.000000,0.079070
130.000000,50.000000,0.086555
130.000000,60.000000,0.094266
130.000000,70.000000,0.102231
130.000000,80.000000,0.110497
130.000000,90.000000,0.119171
130.000000,100.000000,0.128628
130.000000,110.000000,18.384319
130.000000,120.000000,19.487018
130.000000,130.000000,20.677195
130.000000,140.000000,21.798210
120.000000,40.000000,0.079070
120.000000,50.000000,0.086555
120.000000,60.000000,0.094267
120.000000,70.000000,0.102231
120.000000,80.000000,0.110497
120.000000,90.000000,0.119171
120.000000,100.000000,0.128629
120.000000,110.000000,18.383712
120.000000,120.000000,19.486913
120.000000,130.000000,20.677139
120.000000,140.000000,21.798172
110.000000,40.000000,0.079070
110.000000,50.000000,0.086555
110.000000,60.000000,0.094267
110.000000,70.000000,0.102231
110.000000,80.000000,0.110497
110.000000,90.000000,0.119171
110.000000,100.000000,0.128630
110.000000,110.000000,18.383106
110.000000,120.000000,19.486807
110.000000,130.000000,20.677083
110.000000,140.000000,21.798134
100.000000,40.000000,0.079070
100.000000,50.000000,0.086555
100.000000,60.000000,0.094267
100.000000,70.000000,0.102231
100.000000,80.000000,0.110497
100.000000,90.000000,0.119172
100.000000,100.000000,0.128631
100.000000,110.000000,18.382502
100.000000,120.000000,19.486701
100.000000,130.000000,20.677028
100.000000,140.000000,21.798096
90.000000,40.000000,0.079070
90.000000,50.000000,0.086555
90.000000,60.000000,0.094267
90.000000,70.000000,0.102232
90.000000,80.000000,0.110498
90.000000,90.000000,0.119172
90.000000,100.000000,0.128632
90.000000,110.000000,18.381900
90.000000,120.000000,19.486596
90.000000,130.000000,20.676972
90.000000,140.000000,21.798059
80.000000,40.000000,0.079071
80.000000,50.000000,0.086555
80.000000,60.000000,0.094267
80.000000,70.000000,0.102232
80.000000,80.000000,0.110498
80.000000,90.000000,0.119173
80.000000,100.000000,0.128633
80.000000,110.000000,18.381300
80.000000,120.000000,19.486491
80.000000,130.000000,20.676916
80.000000,140.000000,21.798021
70.000000,40.000000,0.079071
70.000000,50.000000,0.086555
70.000000,60.000000,0.094267
70.000000,70.000000,0.102232
70.000000,80.000000,0.110498
70.000000,90.000000,0.119173
70.000000,100.000000,0.128634
70.000000,110.000000,18.380701
70.000000,120.000000,19.486385
70.000000,130.000000,20.676859
70.000000,140.000000,21.797983
60.000000,40.000000,0.079071
60.000000,50.000000,0.086556
60.000000,60.000000,0.094267
60.000000,70.000000,0.102232
60.000000,80.000000,0.110498
60.000000,90.000000,0.119173
60.000000,100.000000,0.128635
60.000000,110.000000,18.380104
60.000000,120.000000,19.486280
60.000000,130.000000,20.676804
60.000000,140.000000,21.797945
50.000000,40.000000,0.079071
50.000000,50.000000,0.086556
50.000000,60.000000,0.094268
50.000000,70.000000,0.102232
50.000000,80.000000,0.110499
